Date,NASDAQ,AAPL,IBM,MSFT
5/12/2020,9002.549805,77.578537,117.009041,181.090103
5/13/2020,8863.169922,76.641853,112.601509,178.351578
5/14/2020,8943.719727,77.112686,113.788521,179.125519
5/15/2020,9014.55957,76.656792,113.817711,181.735046
5/18/2020,9234.830078,78.462914,118.273903,183.471436
5/19/2020,9185.099609,78.009521,117.038231,182.201401
5/20/2020,9375.780273,79.526665,118.098763,184.728653
5/21/2020,9284.879883,78.933754,115.899864,182.509842
5/22/2020,9324.589844,79.441963,115.189598,182.589432
5/26/2020,9340.219727,78.903862,118.468498,180.65918
5/27/2020,9412.360352,79.247643,122.146317,180.897964
5/28/2020,9368.990234,79.282524,121.163612,180.490021
5/29/2020,9489.870117,79.205299,121.523621,182.33075
6/1/2020,9552.049805,80.179359,121.513878,181.912857
6/2/2020,9608.379883,80.550545,122.59388,183.982422
6/3/2020,9682.910156,80.99398,125.561432,184.430161
6/4/2020,9615.80957,80.296448,125.405754,182.002396
6/5/2020,9814.080078,82.583374,128.490051,186.260925
6/8/2020,9924.75,83.07164,132.080307,187.4151
6/9/2020,9953.75,85.694878,128.305191,188.8479
6/10/2020,10020.34961,87.89959,126.359261,195.85257
6/11/2020,9492.730469,83.679497,114.81987,185.335602
6/12/2020,9588.80957,84.401947,118.614441,186.798218
6/15/2020,9726.019531,85.445755,118.361465,187.992203
6/16/2020,9895.870117,87.710258,121.766853,192.598984
6/17/2020,9910.530273,87.588196,120.793892,193.265625
6/18/2020,9943.049805,87.623077,120.803619,195.33519
6/19/2020,9946.120117,87.122337,119.159302,194.171036
6/22/2020,10056.48047,89.401787,117.79715,199.563873
6/23/2020,10131.37012,91.310051,116.18203,200.897141
6/24/2020,9909.169922,89.698242,113.27285,196.847549
6/25/2020,10017,90.889038,115.812294,199.335007
6/26/2020,9757.219727,88.096405,114.022041,195.345123
6/29/2020,9874.150391,90.126732,116.512833,197.44455
6/30/2020,10058.76953,90.879066,117.505257,202.489105
7/1/2020,10154.62988,90.707176,115.335541,203.673141
7/2/2020,10207.62988,90.707176,116.46418,205.225311
7/6/2020,10433.65039,93.133614,116.940941,209.643036
7/7/2020,10343.88965,92.844635,114.401489,207.205322
7/8/2020,10492.5,95.006996,114.527977,211.76236
7/9/2020,10547.75,95.415558,112.582047,213.244904
7/10/2020,10617.44043,95.582466,115.150681,212.598145
7/13/2020,10390.83984,95.141525,115.977692,206.03125
7/14/2020,10488.58008,96.715965,117.339851,207.30484
